group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,15,Livermore-15,expression,0,723072574,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.999999999999988,0.9999999999999906,14.0,181,0.0149626749998788,exp((0.200002090561 - 0.000257563939198 / (121.604487808 + x0)) * log(x0 * 1.01569274925 / 1.01569282934)),exp((0.200002090561 - 0.000257563939198 / (121.604487808 + x0)) * log(x0 * 1.01569274925 / 1.01569282934)),exp((0.200002090561*x0 + 24.3208942192604)*log(x0)/(x0 + 121.604487808)),"[0.25825376390969657, -0.32291794720489514, 0.26466627385644265, 0.0009078474781663177, 3.524746053318109, 121.60448780784613, 1.015692749253601, 1.0156928293368928]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,1,971434279,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999991,0.9999999999999991,5.0,1872,0.13892824399954407,exp(1.00000000138 - cos(x0 - x0) - -0.199999993779 * log(x0)),exp(1.00000000138 - cos(x0 - x0) - -0.199999993779 * log(x0)),1.0*x0**0.2,"[0.0091428961650778, -0.009142894782444275, -0.19999999377867586]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,2,3325160576,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999963,0.9999999999999868,3.0,2816,0.25970788299946435,exp(log(x0) / 5.00000003572) + x0 * -5.19940215086e-09,exp(log(x0) / 5.00000003572) + x0 * -5.19940215086e-09,x0**0.2,"[1.609437919577628, -5.199402150857115e-09]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,3,3163586042,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999993,0.9999999999999967,5.0,690,0.05459059100030572,exp((9.53218256616e-08 - (x0 / 18521022.3566 - log(x0))) / 4.99999979928),exp((9.53218256616e-08 - (x0 / 18521022.3566 - log(x0))) / 4.99999979928),1.0*x0**0.2,"[9.532182566164644e-08, 18521022.356596254, 4.999999799281654]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,4,1227433701,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999999,0.9999999999999998,3.0,244,0.01600929200048995,2.25982103024e-09 + exp(log(x0) / 5.00000000533),2.25982103024e-09 + exp(log(x0) / 5.00000000533),x0**0.2,"[2.2598210302388385e-09, 5.000000005325247, 1.0, 1.0, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,5,2057259013,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999976,0.9999999999999969,3.0,1606,0.12088099300035537,exp((-6.8391494246e-08 + log(x0)) / exp(1.60943791369 - x0 * 2.09429330038e-08)),exp((-6.8391494246e-08 + log(x0)) / exp(1.60943791369 - x0 * 2.09429330038e-08)),x0**0.2,"[-6.839149424596082e-08, 0.014535810476036248, 1.5949021032142607, 2.0942933003769964e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,6,3814845113,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999961,0.9999999999999956,5.0,94,0.007677856000555039,exp(log(x0) / 4.99999970156) * 1.0474337746 * 0.954714296511,exp(log(x0) / 4.99999970156) * 1.0474337746 * 0.954714296511,1.0*x0**0.2,"[1.5086669231487768, 0.30173340263936166, 1.0474337746029285, 0.9547142965113639]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,7,2770303473,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999994,0.9999999999999993,5.0,3719,0.34270843700051046,-1.01472604499 * exp(log(x0) / 5.00000010296) * -0.985487663824,-1.01472604499 * exp(log(x0) / 5.00000010296) * -0.985487663824,1.0*x0**0.2,"[-1.0147260449909603, 1.6094379330265414, 1.014512336175892, 1.0, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,8,3183815639,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999967,0.999999999999996,5.0,883,0.06598166200001288,exp((x0 - x0 - -0.199999996829) * log(x0) * x0 / x0 + -9.59680204715e-09),exp((x0 - x0 - -0.199999996829) * log(x0) * x0 / x0 + -9.59680204715e-09),1.0*x0**0.2,"[-0.7569561989763263, 0.5569562021471495, -9.59680204714764e-09]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,9,3828183215,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999989,0.999999999999999,3.0,682,0.05348825799956103,exp(log(x0) * 0.199999994587),exp(log(x0) * 0.199999994587),x0**0.2,[0.19999999458742526],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,10,2437489881,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,1.0,1.0,3.0,810,0.060055867999835755,exp(log(x0) / 4.99999999474),exp(log(x0) / 4.99999999474),x0**0.2,[4.999999994743371],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,11,2218870180,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999997019767761,True,0.9999999999999859,0.9999999999999936,5.0,323,0.023762153000461694,exp(x0 / 32360943.8442 - (log(x0) * -0.199999956047 - -4.87049793272e-08)),exp(x0 / 32360943.8442 - (log(x0) * -0.199999956047 - -4.87049793272e-08)),1.0*x0**0.2,"[32360943.844152577, -0.20135787593066373, -4.870497932722176e-08]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,12,1677402687,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999997615814209,True,0.9999999999999802,0.9999999999999762,7.0,2408,0.17348404800031858,exp(log(0.999999935051 / x0) * (-0.200000049406 + x0 / 39731623.3044)),exp(log(0.999999935051 / x0) * (-0.200000049406 + x0 / 39731623.3044)),1.0/(1/x0)**0.2,"[0.9999999350509431, 3268.5288029656485, -3268.7288030150544, 39731623.30444622]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,13,310923819,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999994,0.9999999999999996,5.0,2012,0.15423991800071235,exp(log(x0) * 1.19999999983) / x0 / 1.00000000442,exp(log(x0) * 1.19999999983) / x0 / 1.00000000442,1.0*x0**0.2,"[1.1999999998345132, 1.0000000044248039]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,14,1777581980,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999982,0.9999999999999976,3.0,176,0.009033322000504995,exp(0.199999992576 * log(x0)),exp(0.199999992576 * log(x0)),x0**0.2,[0.1999999925760859],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,15,354449225,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999993,0.9999999999999991,5.0,23,0.001859298000454146,exp(log(x0) * 0.199999998368 - 2.86161960794e-09) - -1.26835551817e-09 * x0 * log(x0) * sin(x0),exp(log(x0) * 0.199999998368 - 2.86161960794e-09) - -1.26835551817e-09 * x0 * log(x0) * sin(x0),1.0*x0**0.2,"[0.19999999836781904, -0.6446946156990436, -0.4389785338996201, -1.2683555181732155e-09]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,16,1949615811,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999992,0.9999999999999993,3.0,1854,0.14518207099990832,exp(-1.87835810645e-09 * x0 + 0.20000000833 * log(x0)),exp(-1.87835810645e-09 * x0 + 0.20000000833 * log(x0)),x0**0.2,"[-5.06128555307141e-09, 2.69452642480445, 0.6818131391034322, 3.4090655535322156]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,17,2845477618,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999898,0.9999999999999766,5.0,433,0.033338782000100764,exp(0.816610866406 - 0.783880108853 * log(x0) - (-1.26812187571e-08 * x0 - 0.983880108196) * log(0.4360535561 * x0)),exp(0.816610866406 - 0.783880108853 * log(x0) - (-1.26812187571e-08 * x0 - 0.983880108196) * log(0.4360535561 * x0)),1.0*x0**0.2,"[0.8166108664058558, 0.7838801088530704, -1.2681218757092072e-08, 1.3909998450334906, 0.43605355610026497]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,18,3334804072,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,1.0,1.0,3.0,747,0.049044243000025745,exp(0.200000000836 * log(x0)),exp(0.200000000836 * log(x0)),x0**0.2,"[0.20135792164395022, 1.0, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,19,3003924095,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999992,0.9999999999999987,5.0,1048,0.07197954000002937,exp(-5.69527522664e-09 - -0.200000000713 * log(x0)),exp(-5.69527522664e-09 - -0.200000000713 * log(x0)),1.0*x0**0.2,"[-5.695275226642155e-09, -0.20000000071281782]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,20,938757074,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999979,0.9999999999999987,5.0,170,0.01083075199949235,exp(log(x0 * x0) * 0.0999999964726 + exp((x0 - 21.1863404146) * 0.999737709289)),exp(log(x0 * x0) * 0.0999999964726 + exp((x0 - 21.1863404146) * 0.999737709289)),(x0**2)**0.1,"[1.1051709140772132, 21.18634041455776, 1.5478920836333987]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,21,3434952867,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999938,0.9999999999999984,5.0,69,0.0047603129996787175,exp(0.200000001406 * (0.0273923766682 + log(x0 * 0.972979438625))),exp(0.200000001406 * (0.0273923766682 + log(x0 * 0.972979438625))),1.0*x0**0.2,"[0.7105683462221136, -0.5105683448157329, -0.14056940258597456, 1.0, 0.9729794386253482]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,22,2073228580,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.999999999999998,0.9999999999999981,5.0,135,0.007986534000337997,exp((0.210054656837 - log(1.23374544373 * x0)) * -0.199999997206),exp((0.210054656837 - log(1.23374544373 * x0)) * -0.199999997206),1.0*x0**0.2,"[1.2337454906406715, 1.2337454437283841, 1.7721542447332366]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,23,1668493585,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,1.0,1.0,3.0,922,0.06386438899971836,exp(0.200000000154 * log(x0)),exp(0.200000000154 * log(x0)),x0**0.2,[0.20000000015429148],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,24,3850872759,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999989,0.999999999999998,5.0,349,0.025830757000221638,exp(0.200000003327 * (log(x0 * 0.367879445272) + 1)),exp(0.200000003327 * (log(x0 * 0.367879445272) + 1)),1.0*x0**0.2,"[0.20000000332707296, 0.36787944527246486, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,25,2537996840,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999966,0.9999999999999977,3.0,1953,0.15338003699980618,exp(0.199999999707 * log(x0)) + -4.86213754028e-09 * x0,exp(0.199999999707 * log(x0)) + -4.86213754028e-09 * x0,x0**0.2,"[0.1999999997072847, -4.862137540278101e-09]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,26,3995401709,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999987,0.9999999999999989,5.0,388,0.02769177000027412,exp(0.200000007818 * log(0.92388461718 * x0) - -0.0158336106456),exp(0.200000007818 * log(0.92388461718 * x0) - -0.0158336106456),1.0*x0**0.2,"[0.20000000781781366, 0.923884617180058, 0.9841657276902489, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,27,3994838759,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999969,0.9999999999999949,5.0,1604,0.13175504300033936,exp(log(x0) * 0.199999999313) * (sin(x0 * 1.35058871577) * (x0 - x0 / 0.999999994982) + 0.999999993858),exp(log(x0) * 0.199999999313) * (sin(x0 * 1.35058871577) * (x0 - x0 / 0.999999994982) + 0.999999993858),1.0*x0**0.2,"[0.20135792008006034, 1.0000000000475875, 1.3505887157728464, 0.9999999949823802, 0.9999999938576294]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,28,861316294,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999997019767761,True,0.9999999999999982,0.9999999999999986,3.0,2892,0.24286541200035572,exp((log(x0) - -3.79464433209e-08) / (x0 - 1 - x0 * 0.999999990432) * -0.19999998741),exp((log(x0) - -3.79464433209e-08) / (x0 - 1 - x0 * 0.999999990432) * -0.19999998741),x0**0.2,"[1.0, 1.0000000379464433, 1.0, 0.9999999904320479, 0.8941180983235265, 1.0, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,29,2169555080,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,1.0,1.0,3.0,1642,0.13474412499999744,exp(0.200000000989 * (x0 + x0 - x0 + log(x0) - x0)),exp(0.200000000989 * (x0 + x0 - x0 + log(x0) - x0)),x0**0.2,[0.20000000098882453],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,30,758553822,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999996,0.9999999999999994,3.0,3136,0.2564926339991871,exp(0.174125981661 * log(x0 + -3.20387798026e-10) / 0.87062992825),exp(0.174125981661 * log(x0 + -3.20387798026e-10) / 0.87062992825),x0**0.2,"[0.17412598166088236, -3.203877980263786e-10, 1.0564813751509523]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,31,1393567789,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999998,0.9999999999999997,3.0,4401,0.3702375980001307,exp(0.2000000029 * log(x0)) + x0 - x0,exp(0.2000000029 * log(x0)) + x0 - x0,x0**0.2,[0.20000000289952194],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,32,540967856,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999993,0.9999999999999996,5.0,1256,0.09509665000041423,exp((log(x0) - (-3.56356448794e-08 + x0 * 1.40639986103e-08)) * 0.200000005495),exp((log(x0) - (-3.56356448794e-08 + x0 * 1.40639986103e-08)) * 0.200000005495),1.0*x0**0.2,"[1.2030305632000142, 1.203030598835659, 1.4063998610293279e-08, 1.369438400396503]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,33,902677639,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999999,0.9999999999999998,3.0,960,0.07110122300036892,exp((log(x0) + 9.32792440245e-05 * x0 / 10734.6091289) / 5.00000009228),exp((log(x0) + 9.32792440245e-05 * x0 / 10734.6091289) / 5.00000009228),x0**0.2,"[9.327924402445323e-05, 9.281228298739478, 1.0, 2.4251614318143515, 1.0]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,34,2191321948,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999822,0.9999999999999857,5.0,947,0.06840339500013215,exp(log(x0 / 0.999999996178) * 0.199999979808),exp(log(x0 / 0.999999996178) * 0.199999979808),1.0*x0**0.2,"[0.9999999961779382, 0.20135790018149133]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,35,1851676975,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999979,0.9999999999999892,3.0,3287,0.30228131399962876,exp(-0.96443100233 / (-4.82215521992 / log(x0 + 1.95933778655e-10))),exp(-0.96443100233 / (-4.82215521992 / log(x0 + 1.95933778655e-10))),x0**0.2,"[-1.8383103629599935, -1.9335085111504093, 1.444323354384358, 1.444323354384358, 1.9593377865488534e-10]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,36,1139067352,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999997615814209,True,0.9999999999999979,0.9999999999999984,5.0,4738,0.39086360600049375,exp(0.0666666647687 * log(x0 * x0 * x0)),exp(0.0666666647687 * log(x0 * x0 * x0)),(x0**3)**0.06667,[0.06666666476874834],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,37,1305444561,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998807907104,True,0.9999999999999999,0.9999999999999997,3.0,2505,0.20427517799998895,exp(x0 * log(x0) / 5.0000000567 / exp(log(x0))),exp(x0 * log(x0) / 5.0000000567 / exp(log(x0))),x0**0.2,"[1.0000000001970921, 1.32105399083484, 2.1541937740446473, -1.6058070476219485e-09]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,38,1869174399,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,0.9999999999999992,0.9999999999999997,3.0,1124,0.08184239300044283,exp(log(x0 + -1.22759659925e-08) * 0.200000001823),exp(log(x0 + -1.22759659925e-08) * 0.200000001823),x0**0.2,"[-1.2275965992451384e-08, 1.2230624551468714]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,15,Livermore-15,expression,39,2928440539,40,20,20,1,"[""x0""]",x[0]**(1/5),0.9999998211860657,True,1.0,1.0,3.0,3252,0.30337437100024545,exp(0.20000000104 * log(x0)),exp(0.20000000104 * log(x0)),x0**0.2,[0.20135792185156487],"+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
