group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,9,Livermore-9,expression,0,723072574,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9998528361320496,False,0.9999999783325768,0.9999933332775771,46.0,2000006,346.2642691000001,(x0 - 0.668304001616) / (1.14984972582 + x0) / exp(-1.10011580065 * x0) / (1.11161764388 - sin(1.38819925452 * x0)) + sin(-0.317379064538 * x0 + -0.926704103235 + x0) - (x0 / (x0 - 1.22680231945) - (x0 + 1.84497686327) / (x0 + 1.39509973529)),(x0 - 0.668304001616) / (1.14984972582 + x0) / exp(-1.10011580065 * x0) / (1.11161764388 - sin(1.38819925452 * x0)) + sin(-0.317379064538 * x0 + -0.926704103235 + x0) - (x0 / (x0 - 1.22680231945) - (x0 + 1.84497686327) / (x0 + 1.39509973529)),-x0/(x0 - 1.227) - (x0 - 0.6683)*exp(1.10011580065*x0)/((x0 + 1.15)*(sin(1.38819925452*x0) - 1.112)) + sin(0.682620935462*x0 - 0.926704103235) + (x0 + 1.845)/(x0 + 1.395),"[0.6683040016160618, 1.1498497258226448, -1.1001158006488416, 1.1116176438782697, 1.3881992545225352, -0.31737906453781184, -0.9267041032352334, 1.2268023194500608, 1.8449768632709411, 1.3950997352926344]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,1,971434279,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999092817306519,False,0.9999999906016738,0.9999998232665476,37.0,2000004,356.4260490930001,(x0 - 0.575211909731) * x0 / 0.512542384587 * (x0 + 1.31231652018) * x0 * x0 * exp(x0 * 0.83963106387 * (x0 + 0.0442623469857)) + (0.920724146383 * x0 + sin(x0 + x0)) * (0.344141308763 * (-1.90994048571 + x0) + exp(x0 * x0)),(x0 - 0.575211909731) * x0 / 0.512542384587 * (x0 + 1.31231652018) * x0 * x0 * exp(x0 * 0.83963106387 * (x0 + 0.0442623469857)) + (0.920724146383 * x0 + sin(x0 + x0)) * (0.344141308763 * (-1.90994048571 + x0) + exp(x0 * x0)),1.951*x0**3*(x0 - 0.5752)*(x0 + 1.312)*exp(0.83963106387*x0*(x0 + 0.0442623469857)) + (0.9207*x0 + sin(2*x0))*(0.3441*x0 + exp(x0**2) - 0.6573),"[0.5752119097311601, 0.5125423845873263, 1.3123165201829798, 0.8396310638697068, 0.04426234698570095, 0.9207241463831431, 0.34414130876297183, -1.9099404857135582]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,2,3325160576,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9996306896209717,False,0.9999998635016003,0.9999962298080302,50.0,2000001,384.9776088640001,(cos(x0 - 0.467971048931) + (-1.54379796724 + exp(x0)) / (-2.76032403001 * x0 + 3.84623477068 / x0)) / (0.885120107178 / sin(3.14188357955 - x0) + cos(x0 - -0.00476343654185) * -0.574171840214 * exp(x0)),(cos(x0 - 0.467971048931) + (-1.54379796724 + exp(x0)) / (-2.76032403001 * x0 + 3.84623477068 / x0)) / (0.885120107178 / sin(3.14188357955 - x0) + cos(x0 - -0.00476343654185) * -0.574171840214 * exp(x0)),(x0*(exp(x0) - 1.544) - (2.76*x0**2 - 3.846)*cos(x0 - 0.467971048931))*sin(x0 - 3.14188357955)/((2.76*x0**2 - 3.846)*(0.5742*exp(x0)*sin(x0 - 3.14188357955)*cos(x0 + 0.00476343654185) + 0.8851)),"[0.4679710489311787, -1.7021631522370326, 1.1025815478181846, -2.7603240300059846, 3.8462347706844424, 0.8851201071784727, 3.141883579550514, -0.004763436541845019, -4.100796703156735]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,3,3163586042,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9998308420181274,False,0.9999999713764823,0.9322829002958708,43.0,2000001,353.9846235060004,(x0 * (x0 + 1.99265257065) + (-2.0272034681 - x0) / (x0 - 1.04325502316) + exp(x0 * 1.59923152033 * (1.15418124808 + x0))) / (x0 * 1.84472098614 + cos(x0 - 0.903600149431) / (x0 * 0.210349954431)),(x0 * (x0 + 1.99265257065) + (-2.0272034681 - x0) / (x0 - 1.04325502316) + exp(x0 * 1.59923152033 * (1.15418124808 + x0))) / (x0 * 1.84472098614 + cos(x0 - 0.903600149431) / (x0 * 0.210349954431)),x0*(-x0 + (x0 - 1.043)*(x0*(x0 + 1.993) + exp(1.59923152033*x0*(x0 + 1.15418124808))) - 2.027)/((x0 - 1.043)*(1.845*x0**2 + 4.754*cos(x0 - 0.903600149431))),"[1.9926525706456406, -2.0272034681041977, 1.0432550231572661, 1.5992315203277583, 1.1541812480800624, 1.8447209861430176, 0.9036001494313729, 0.2103499544313218]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,4,1227433701,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9998897910118103,False,0.9999999878571938,0.9999997417974014,34.0,2000004,386.16770507599995,(x0 * (x0 + x0) + 2.06902863853 + x0) / (cos(x0 / 1.46026556015) / x0) * (sin(x0 - 0.131202297698) + -1.48165882102 * x0 - (-0.480738825342 - x0)) * (exp(x0 * x0) - (x0 - 0.295846250969) * 1.29238440586),(x0 * (x0 + x0) + 2.06902863853 + x0) / (cos(x0 / 1.46026556015) / x0) * (sin(x0 - 0.131202297698) + -1.48165882102 * x0 - (-0.480738825342 - x0)) * (exp(x0 * x0) - (x0 - 0.295846250969) * 1.29238440586),x0*(-1.292*x0 + exp(x0**2) + 0.3823)*(-0.4817*x0 + sin(x0 - 0.131202297698) + 0.4807)*(2.0*x0**2 + x0 + 2.069)/cos(0.684806946961948*x0),"[1.4198697458563263, 1.4571960875761771, 1.4602655601543735, 0.13120229769840885, -1.4816588210202057, -0.4807388253420959, 0.29584625096908157, 1.2923844058639498]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,5,2057259013,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9998782277107239,False,0.9999999851163407,0.999968421447613,45.0,2000000,364.12601347300006,(0.0142311704701 * x0 + 1.25996954605) * (x0 + 0.994746611838) / (1.21349124961 + cos(x0 * 2.76166187343)) - (1.75020676071 + -1.31462747592 * x0) / log(x0 * x0 + 22.0142866654),(0.0142311704701 * x0 + 1.25996954605) * (x0 + 0.994746611838) / (1.21349124961 + cos(x0 * 2.76166187343)) - (1.75020676071 + -1.31462747592 * x0) / log(x0 * x0 + 22.0142866654),((0.01423*x0 + 1.26)*(x0 + 0.9947)*log(x0**2 + 22.0142866654) + (1.315*x0 - 1.75)*(cos(2.76166187343*x0) + 1.213))/((cos(2.76166187343*x0) + 1.213)*log(x0**2 + 22.0142866654)),"[0.014231170470079947, 0.23108755087290472, 0.9947466118377929, 1.2134912496105947, 2.761661873430005, 1.7502067607104956, -1.3146274759187497, 3.0916916364756752]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,6,3814845113,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.999913215637207,False,0.9999999924675791,0.9999998812982813,67.0,2000001,362.3237142600001,(x0 * 3.21192630127 + cos(x0 * 1.25215749731)) / (sin(1.01234946797 * x0) - (0.965420679672 / x0 + x0 - 0.594111633749)) + sin(1.11677159038 + x0) / (cos(x0) * 0.226419147361) * (x0 + 0.51295061521) * x0 / cos(x0 * 0.83469431919),(x0 * 3.21192630127 + cos(x0 * 1.25215749731)) / (sin(1.01234946797 * x0) - (0.965420679672 / x0 + x0 - 0.594111633749)) + sin(1.11677159038 + x0) / (cos(x0) * 0.226419147361) * (x0 + 0.51295061521) * x0 / cos(x0 * 0.83469431919),x0*(-(3.212*x0 + cos(1.25215749731*x0))*cos(0.83469431919*x0)*cos(x0) + (4.417*x0 + 2.266)*(x0*(x0 - sin(1.01234946797*x0) - 0.5941) + 0.9654)*sin(x0 + 1.11677159038))/((x0*(x0 - sin(1.01234946797*x0) - 0.5941) + 0.9654)*cos(0.83469431919*x0)*cos(x0)),"[3.2119263012675905, 1.252157497312192, 1.0123494679723533, 0.9654206796718813, 0.5941116337492182, 1.116771590378966, 0.22641914736103153, 0.5129506152104993, 0.8346943191896796]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,7,2770303473,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9998968243598938,False,0.9999999873144773,-292.89164486491694,59.0,2000004,346.718879649,(1.05628225879 + (1.9264383235 + x0) * x0) * x0 / exp(x0 * 1.54270838834) * (-0.777403983771 * x0 / cos(x0) + 2.07620784308 - ((1.05730847174 + x0) / (0.935941384307 - x0) + 3.62373111985 * x0 / (x0 - 0.971694755586))),(1.05628225879 + (1.9264383235 + x0) * x0) * x0 / exp(x0 * 1.54270838834) * (-0.777403983771 * x0 / cos(x0) + 2.07620784308 - ((1.05730847174 + x0) / (0.935941384307 - x0) + 3.62373111985 * x0 / (x0 - 0.971694755586))),-x0*(x0*(x0 + 1.926) + 1.056)*(0.7774*x0**3/cos(x0) + 0.5475*x0**2 - 1.483*x0**2/cos(x0) + 0.4834*x0 + 0.707*x0/cos(x0) - 0.8608)*exp(-1.54270838834*x0)/((x0 - 0.9717)*(x0 - 0.9359)),"[1.0562822587943235, 1.9264383235039284, 1.5427083883357364, -0.7774039837710958, 2.0762078430824964, 1.0573084717391978, 0.9359413843065706, 3.623731119849411, 0.9716947555856826]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,8,3183815639,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999804496765137,False,0.9999999996191624,0.9999999906117292,45.0,2000000,364.21087777900084,(x0 * (x0 + 1.21485130376) * (x0 - 1.00829322264) * 0.885755423181 * x0 + (0.787111993734 * x0 + 0.934487793567) / sin(x0 + 1.17842189435)) * exp(x0 * 1.99387323397 * sin(x0)) / ((-0.720540464109 + x0 + 1.25749255749 / x0) * 0.804886508699),(x0 * (x0 + 1.21485130376) * (x0 - 1.00829322264) * 0.885755423181 * x0 + (0.787111993734 * x0 + 0.934487793567) / sin(x0 + 1.17842189435)) * exp(x0 * 1.99387323397 * sin(x0)) / ((-0.720540464109 + x0 + 1.25749255749 / x0) * 0.804886508699),x0*(0.8858*x0**2*(x0 - 1.008)*(x0 + 1.215)*sin(x0 + 1.17842189435) + 0.7871*x0 + 0.9345)*exp(1.99387323397*x0*sin(x0))/((x0*(0.8049*x0 - 0.58) + 1.012)*sin(x0 + 1.17842189435)),"[1.214851303759903, 1.0082932226364545, 0.8857554231806198, 0.7871119937340308, 1.206817535001009, 1.178421894347414, 1.9938732339726164, -0.7205404641089548, 1.257492557494337, 0.6353121301053704]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
Livermore,9,Livermore-9,expression,9,3828183215,40,20,20,1,"[""x0""]",x[0]**9 + x[0]**8 + x[0]**7 + x[0]**6 + x[0]**5 + x[0]**4 + x[0]**3 + x[0]**2 + x[0],0.9999113082885742,False,0.9999999916391122,0.9999965741630324,50.0,2000001,363.85522348499944,3.26344312746 * (1.01890500292 + x0) * x0 * x0 / (1.31371068916 - sin(x0 * x0)) + (x0 * -0.0684488104882 - 0.0550000762951 - (0.340830581419 - x0) / cos(x0)) * (x0 + x0) * (x0 * -1.03527776646 + -1.2641625576),3.26344312746 * (1.01890500292 + x0) * x0 * x0 / (1.31371068916 - sin(x0 * x0)) + (x0 * -0.0684488104882 - 0.0550000762951 - (0.340830581419 - x0) / cos(x0)) * (x0 + x0) * (x0 * -1.03527776646 + -1.2641625576),x0*(-x0*(3.263*x0 + 3.325)*cos(x0) + (2.071*x0 + 2.528)*(sin(x0**2) - 1.314)*(-x0 + (0.06845*x0 + 0.055)*cos(x0) + 0.3408))/((sin(x0**2) - 1.314)*cos(x0)),"[3.2634431274616973, 1.0189050029154803, 1.3137106891597112, -0.06844881048820449, 0.05500007629508517, 0.3408305814187362, -1.0352777664557546, -1.2641625576020432]","+,-,*,/,sin,cos,exp,log,R",6,999,10,2000000,50,0.5
