group,case_id,case_name,source_type,run,seed,samples_total,samples_train,samples_test,variables,feature_names,target_expression,reward,success,train_r2,test_r2,complexity,evaluations,time_sec,expression,materialized_expression,simplified_expression,coefficients,ops,max_depth,max_unary,max_constants,max_evals,lm_iterations,test_ratio
Livermore,5,Livermore-5,expression,0,723072574,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,16.0,38553,0.2216935830001603,x0 * (x0 - x0 * x0 + x0 * x0 * x0) - x1,x0 * (x0 - x0 * x0 + x0 * x0 * x0) - x1,x0**2*(x0**2 - x0 + 1.0) - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,1,971434279,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,14.0,100162,0.7059268849998261,x0 * x0 - x1 - x0 * (x0 - x0 * x0) * x0,x0 * x0 - x1 - x0 * (x0 - x0 * x0) * x0,x0**3*(x0 - 1.0) + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,2,3325160576,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,14.0,93380,0.6302420479996726,x0 * x0 * x0 * (x0 - x0 / x0) + x0 - x0 - (x1 - x0 * x0),x0 * x0 * x0 * (x0 - x0 / x0) + x0 - x0 - (x1 - x0 * x0),x0**3*(x0 - 1.0) + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,3,3163586042,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,14.0,112719,0.7588980230002562,x0 * x0 - x1 - x0 * (x0 - x0 * x0) * x0,x0 * x0 - x1 - x0 * (x0 - x0 * x0) * x0,x0**3*(x0 - 1.0) + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,4,1227433701,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,15.0,262125,1.9064069819996803,x0 * (x0 * x0 * (x0 - x0 / x0) + x0 - x1 / x0),x0 * (x0 * x0 * (x0 - x0 / x0) + x0 - x1 / x0),x0**2*(x0*(x0 - 1.0) + 1.0) - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,5,2057259013,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,15.0,184647,1.4021569790002104,x0 * x0 * x0 - x1 - (x0 * x0 - x0) * (x0 - x0 * x0),x0 * x0 * x0 - x1 - (x0 * x0 - x0) * (x0 - x0 * x0),x0**4 - x0**3 + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,6,3814845113,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,15.0,555031,4.55837372499991,(x1 / x1 + x0 * x0 * x0) / ((x0 + x0 / x0) / (x0 * x0)) - x1,(x1 / x1 + x0 * x0 * x0) / ((x0 + x0 / x0) / (x0 * x0)) - x1,x0**4 - x0**3 + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,7,2770303473,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,14.0,76039,0.5417246269998941,x0 * x1 * x0 / x1 - x1 - (x1 - x1 * x0) * x0 / x1 * (x0 * x1 * x0 / x1 + x0 - x0),x0 * x1 * x0 / x1 - x1 - (x1 - x1 * x0) * x0 / x1 * (x0 * x1 * x0 / x1 + x0 - x0),x0**3*(x0 - 1.0) + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,8,3183815639,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,14.0,56553,0.35396970600049826,x0 * x0 - x1 - x0 * (x0 - x0 * x0) * x0,x0 * x0 - x1 - x0 * (x0 - x0 * x0) * x0,x0**3*(x0 - 1.0) + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
Livermore,5,Livermore-5,expression,9,3828183215,40,20,20,2,"[""x0"", ""x1""]",x[0]**4 - x[0]**3 + x[0]**2 - x[1],0.9999999403953552,True,1.0,1.0,14.0,833171,7.383723989999453,x0 * x0 - x1 - x0 * x0 * (x0 - x0 * x0),x0 * x0 - x1 - x0 * x0 * (x0 - x0 * x0),x0**3*(x0 - 1.0) + x0**2 - x1,[],"+,-,*,/,sin,cos,exp,log",6,999,10,2000000,50,0.5
